ID;NUMCENS;Ejercicio;Fecha_Alta_Baja;Estado
177151;79;1986;1985-5-15;Alta
177157;87;1986;1985-5-15;Alta
177158;88;1986;1985-5-15;Alta
177163;94;1986;1985-5-15;Alta
177169;104;1986;1985-4-01;Baja
177179;119;1986;1985-5-15;Alta
177182;122;1986;1985-4-01;Baja
177184;126;1986;1985-4-01;Baja
177195;137;1986;1985-4-01;Baja
177199;144;1986;1985-5-15;Alta
177202;150;1986;1985-5-15;Alta
177203;151;1986;1985-5-15;Alta
177208;159;1986;1985-5-15;Alta
177218;176;1986;1985-5-15;Alta
177221;181;1986;1985-4-01;Baja
177222;182;1986;1985-5-15;Alta
177223;183;1986;1985-5-15;Alta
177230;194;1986;1985-4-01;Baja
177238;207;1986;1985-5-15;Alta
177243;216;1986;1985-5-15;Alta
177246;224;1986;1985-5-15;Alta
177247;225;1986;1985-5-15;Alta
177252;232;1986;1985-5-15;Alta
177255;236;1986;1985-5-15;Alta
177256;237;1986;1985-5-15;Alta
177264;246;1986;1985-5-15;Alta
177266;250;1986;1985-5-15;Alta
177273;257;1986;1985-4-01;Baja
177275;260;1986;1985-5-15;Alta
177278;263;1986;1985-4-01;Baja
177279;264;1986;1985-4-01;Baja
177280;265;1986;1985-4-01;Baja
177287;273;1986;1985-5-15;Alta
177296;285;1986;1985-5-15;Alta
177297;286;1986;1985-5-15;Alta
177303;295;1986;1985-5-15;Alta
177304;296;1986;1985-5-15;Alta
177305;297;1986;1985-5-15;Alta
177312;308;1986;1985-5-15;Alta
177315;311;1986;1985-5-15;Alta
177316;312;1986;1985-5-15;Alta
177326;322;1986;1985-5-15;Alta
177346;353;1986;1985-4-01;Baja
177352;369;1986;1985-5-15;Alta
177353;370;1986;1985-5-15;Alta
177355;372;1986;1985-5-15;Alta
177356;373;1986;1985-5-15;Alta
177365;382;1986;1985-5-15;Alta
177367;384;1986;1985-5-15;Alta
177374;391;1986;1985-5-15;Alta
177388;408;1986;1985-4-01;Baja
177390;411;1986;1985-5-15;Alta
177396;419;1986;1985-5-15;Alta
177520;620;1986;1985-4-01;Baja
177600;1;1987;1986-4-01;Baja
177601;2;1987;1986-5-15;Alta
177617;21;1987;1986-4-01;Baja
177624;28;1987;1986-4-01;Baja
177625;31;1987;1986-4-01;Baja
177626;32;1987;1986-5-15;Alta
177627;33;1987;1986-5-15;Alta
177628;34;1987;1986-4-01;Baja
177629;35;1987;1986-5-15;Alta
177630;36;1987;1986-5-15;Alta
177635;42;1987;1986-5-15;Alta
177639;46;1987;1986-5-15;Alta
177643;51;1987;1986-5-15;Alta
177644;52;1987;1986-4-01;Baja
177650;58;1987;1986-5-15;Alta
177655;64;1987;1986-4-01;Baja
177659;74;1987;1986-5-15;Alta
177662;79;1987;1986-4-01;Baja
177668;87;1987;1986-5-15;Alta
177669;88;1987;1986-5-15;Alta
177674;94;1987;1986-5-15;Alta
177680;104;1987;1986-4-01;Baja
177690;119;1987;1986-5-15;Alta
177693;122;1987;1986-4-01;Baja
177695;126;1987;1986-4-01;Baja
177706;137;1987;1986-4-01;Baja
177710;144;1987;1986-5-15;Alta
177711;147;1987;1986-5-15;Alta
177713;150;1987;1986-5-15;Alta
177714;151;1987;1986-5-15;Alta
177718;158;1987;1986-5-15;Alta
177719;159;1987;1986-5-15;Alta
177729;176;1987;1986-5-15;Alta
177732;181;1987;1986-4-01;Baja
177733;182;1987;1986-5-15;Alta
177734;183;1987;1986-5-15;Alta
177741;194;1987;1986-4-01;Baja
177749;207;1987;1986-5-15;Alta
177754;216;1987;1986-5-15;Alta
177757;224;1987;1986-5-15;Alta
177758;225;1987;1986-5-15;Alta
177763;232;1987;1986-5-15;Alta
177766;236;1987;1986-5-15;Alta
177767;237;1987;1986-5-15;Alta
177775;246;1987;1986-5-15;Alta
177777;250;1987;1986-5-15;Alta
177784;257;1987;1986-4-01;Baja
177786;260;1987;1986-4-01;Baja
177789;263;1987;1986-4-01;Baja
177790;264;1987;1986-4-01;Baja
177791;265;1987;1986-4-01;Baja
177798;273;1987;1986-5-15;Alta
177807;285;1987;1986-5-15;Alta
177808;286;1987;1986-5-15;Alta
177814;295;1987;1986-5-15;Alta
177815;296;1987;1986-4-01;Baja
177816;297;1987;1986-5-15;Alta
177823;308;1987;1986-5-15;Alta
177826;311;1987;1986-5-15;Alta
177827;312;1987;1986-5-15;Alta
177837;322;1987;1986-4-01;Baja
177857;353;1987;1986-4-01;Baja
177863;369;1987;1986-5-15;Alta
177864;370;1987;1986-5-15;Alta
177866;372;1987;1986-5-15;Alta
177867;373;1987;1986-4-01;Baja
177876;382;1987;1986-5-15;Alta
177878;384;1987;1986-5-15;Alta
177885;391;1987;1986-5-15;Alta
177888;394;1987;1986-5-15;Alta
177899;408;1987;1986-4-01;Baja
177901;411;1987;1986-5-15;Alta
177907;419;1987;1986-5-15;Alta
178031;620;1987;1986-4-01;Baja
178111;1;1988;1987-4-01;Baja
178112;2;1988;1987-5-15;Alta
178128;21;1988;1987-5-15;Alta
178135;28;1988;1987-4-01;Baja
